,track_x,track_y,dist,bpm_inc,key_x,mode_x,instrumentalness_x,speechiness_x,key_y,mode_y,instrumentalness_y,speechiness_y
434,Galantis - Runaway (U&I).mp3,Four Tet - Only Human.mp3,0.042459554310529064,0.007864580026664972,1,1,0.00193,0.0469,10,0,0.138,0.0691
435,Malaa - Notorious.mp3,George Fitzgerald - Burns.mp3,0.04247733856070837,0.007843742887797928,2,1,0.0016,0.0468,2,1,0.932,0.036000000000000004
436,Four Tet - Only Human.mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.04253393719117717,0.008094551925605872,10,0,0.138,0.0691,11,0,0.7170000000000001,0.0594
437,Zhu - My Life (Kyle Watson Remix).mp3,James Blake  - Limit To Your Love (Club remix).mp3,0.042545427633373385,0.0002347217480369826,5,0,0.789,0.0985,10,0,0.242,0.096
438,Daft Punk - Aerodynamic.mp3,Daft Punk - One More Time (Capital People Remix).mp3,0.04257998490065283,0.001178784722787253,7,1,0.861,0.0524,2,1,0.0,0.133
439,ODESZA - Say My Name (feat. Zyra).mp3,Ekali - Unfaith.mp3,0.042598911845559126,0.1477817954245187,6,0,0.395,0.0479,4,0,0.231,0.101
440,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,Ekali - Unfaith.mp3,0.042629908094133,0.02206500338375111,9,0,0.82,0.0368,4,0,0.231,0.101
441,J Balvin - Mi Gente.mp3,Chrome Sparks - Wake.mp3,0.042652742300175885,0.143274993092541,11,0,1.17e-05,0.0584,6,0,0.48,0.0409
442,James Blake  - Limit To Your Love (Club remix).mp3,Seven Lions - Strangers.mp3,0.04266162620910226,0.05623974603174613,10,0,0.242,0.096,0,0,1.6e-06,0.0394
443,Dog Blood - TURN OFF THE LIGHTS.mp3,Flume - Never Be Like You (Disclosure Remix).mp3,0.042708692590500814,0.0670339378583813,11,0,0.7170000000000001,0.0594,2,1,0.000925,0.23
444,RL Grime - Pressure (Valentino Khan Remix).mp3,Hannah Wants  - Rhymes.mp3,0.04271071203869548,0.00018255561993515583,2,1,0.284,0.174,5,1,0.00315,0.0766
445,The xx - Tides (Dixon Remix).mp3,Dog Blood - BREAK LAW.mp3,0.042800279302747365,0.12967387077059828,4,0,0.8170000000000001,0.0513,2,1,0.00205,0.0373
446,Kendrick Lamar – HUMBLE (Skrillex Remix).mp3,Cardi B - I Like It (Dillon Francis Remix).mp3,0.043002361217952985,0.0008931606556064903,11,1,8.23e-05,0.272,5,0,1.49e-05,0.149
447,Four Tet - Planet.mp3,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,0.043025391965775005,0.017452877944291924,0,1,0.862,0.0747,9,0,0.82,0.0368
448,The xx - Tides (Dixon Remix).mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.04305920946064743,0.04941884293185155,4,0,0.8170000000000001,0.0513,11,0,0.7170000000000001,0.0594
449,Drake - Get It Together.mp3,Skrillex - Midnight Hour.mp3,0.04307774173820126,0.02411979416474937,5,0,0.391,0.0514,0,1,0.000392,0.0685
450,Kanye West - Father Stretch My Hands Pt. 1.mp3,Beyoncé - Crazy In Love.mp3,0.04312143291534934,0.1404023597035243,7,1,0.0,0.0549,2,0,0.0,0.226
451,Oliver Huntemann - Rotlicht.mp3,Skrillex - Midnight Hour.mp3,0.0431317003055495,0.015943419811130472,10,0,0.901,0.0743,0,1,0.000392,0.0685
452,RL Grime - Pressure (Valentino Khan Remix).mp3,Drake - Get It Together.mp3,0.04313813764145853,0.024396192210452645,2,1,0.284,0.174,5,0,0.391,0.0514
