Track x,Track y,Harmonic distance,BPM increase,
Disclosure - When A Fire Starts To Burn.mp3,Tchami - Missing You.mp3,0.016172279,0.024590957,
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Justice - D.A.N.C.E.mp3,0.016598871,0.088765872,
Jamie xx - SeeSaw (Club Version).mp3,Diplo - Love To The World.mp3,0.016685264,0.016233793,
Travis Scott - goosebumps.m4a,Dog Blood - TURN OFF THE LIGHTS.mp3,0.016738571,0.015793544,
Dog Blood - TURN OFF THE LIGHTS.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.016872967,0.032908962,
Beyoncé - Drunk in Love.mp3,Cardi B - I Like It (Dillon Francis Remix).mp3,0.016949845,0.072363065,
Coeus - Rebirth.wav,Malaa - Notorious.mp3,0.017193086,0.00015342,
What So Not - Goh (AC Slater Remix).mp3,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,0.017426709,0.05,
Meek Mill - Going Bad.mp3,Drake - 0 To 100.mp3,0.017463689,0.026813018,
Zhu - My Life (Kyle Watson Remix).mp3,Drake - Get It Together.mp3,0.017505391,5.69E-05,
Bicep - Just.mp3,ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,0.017526458,5.00E-05,
Beyoncé - Crazy In Love.mp3,Kanye West - Fade.mp3,0.017618641,0.06890536,
Beyoncé - Single Ladies (Put a Ring on It).mp3,J Balvin - Mi Gente.mp3,0.017632694,0.085200866,
Disclosure - Latch.mp3,James Blake  - Limit To Your Love (Club remix).mp3,0.018012394,0.008696695,
Rufus Du Sol - Underwater (Adam Port Remix).mp3,Justin Martin - Don't Go (Dusky Remix).mp3,0.018176693,0.042841649,
Four Tet - Planet.mp3,ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,0.018180646,0.058226941,
M83 - Midnight City (Eric Prydz Remix).mp3,Porter Robinson - Easy.m4a,0.018665332,0.007731918,
Backstreet Boys - Everybody (Backstreet's Back).mp3,Kanye West - On Sight.mp3,0.018850681,0.053575609,
Justice - D.A.N.C.E.mp3,Chris Lake - I Want You.mp3,0.018885944,0.106118657,
Dr Dre - The Next Episode.mp3,Linkin Park - In The End.mp3,0.019339793,0.103342253,
ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,Four Tet - Baby.mp3,0.019353239,0.058918631,
Justice - D.A.N.C.E.mp3,Tchami - Prophecy.mp3,0.019355987,0.106118657,
Childish Gambino - This Is America (remix).mp3,Dillon Francis - EDM O'CLOCK.mp3,0.019438069,0.007835429,
Flume - Insane (Bishu Remix).mp3,Four Tet - Baby.mp3,0.019452496,0.129764748,
Justice - Genesis.mp3,ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,0.019771215,0.025124941,
Kanye West - Father Stretch My Hands Pt. 1.mp3,Daft Punk - Aerodynamic.mp3,0.019888337,0.086781975,
Bonobo - Bambro Koyo Ganda.mp3,James Blake  - Limit To Your Love (Club remix).mp3,0.01999773,0.065174908,
M83 - Midnight City (Eric Prydz Remix).mp3,George Fitzgerald - Burns.mp3,0.020112829,0.024299759,
Flume - You & Me.mp3,Flume - The Difference.mp3,0.020191911,0.065476587,
Kanye West - Fade.mp3,Justice - Genesis.mp3,0.020355962,0.104313289,
FISHER - You Little Beauty.mp3,Tchami - Missing You.mp3,0.020378754,0.024268673,
