track,bpm,C,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B
Hannah Wants  - Rhymes.mp3,125.98899999999999,0.093559565,0.041821006,0.164177321,0.031544987000000003,0.057712988,0.231748118,0.054905007,0.020372803999999998,0.063209463,0.149121759,0.066196678,0.025630302
Beyoncé - Drunk in Love.mp3,140.03,0.215531472,0.067106869,0.023469461,0.077944448,0.026627431,0.135505634,0.035598938,0.05669992099999999,0.085767602,0.048230819,0.12172539999999998,0.105792005
Beyoncé - Single Ladies (Put a Ring on It).mp3,96.7185,0.08506798199999999,0.045602214,0.057393815,0.046685116,0.14727469599999998,0.039345446,0.10383828699999999,0.05859704,0.119600529,0.112982794,0.025267717000000002,0.15834436300000002
A$AP Ferg - Work (DJZA Tech House Remix).wav,123.046875,0.09569938900000001,0.020731783,0.067933609,0.04232738900000001,0.031838095,0.126858765,0.030048744,0.042944407000000004,0.15666070199999999,0.188313692,0.15326710699999999,0.043376319
Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,123.046875,0.105400577,0.12051669599999999,0.050982547999999996,0.016559022,0.038889652000000004,0.096056067,0.12367734,0.030094819,0.188745362,0.071732857,0.099354129,0.05799093
"Daft Punk - Harder, Better, Faster, Stronger.mp3",123.475,0.04203425,0.099948106,0.034146341000000004,0.048780488,0.17114686,0.023352361000000002,0.232900882,0.037052413,0.076491956,0.109600415,0.030513752,0.09403217400000001
Jamie xx - Hold Tight.mp3,125.509,0.086330249,0.167318516,0.015548983999999998,0.144138128,0.031288752999999996,0.111418487,0.17571305899999998,0.014022703000000001,0.217399599,0.0044834490000000005,0.008489936,0.023848135
Daft Punk - One More Time (Capital People Remix).mp3,123.046875,0.027339047000000002,0.036688151,0.135986968,0.00779092,0.17897868100000003,0.054394787,0.07960903700000001,0.172320986,0.074651179,0.149373185,0.010482329,0.07238473
Daft Punk - Aerodynamic.mp3,122.902,0.052598465,0.089027306,0.18503837899999998,0.018434628999999998,0.085315213,0.030262992000000002,0.09726941,0.057568894,0.07757644400000001,0.11551528900000001,0.006417516,0.18497546199999998
Kanye West - Father Stretch My Hands Pt. 1.mp3,113.088,0.11115019300000001,0.03148083,0.123109391,0.020400985,0.071579318,0.024797748999999997,0.063489272,0.07527259900000001,0.051002462,0.19152303899999998,0.037460428999999996,0.198733732
RL Grime - Pressure (Valentino Khan Remix).mp3,126.012,0.09579735199999999,0.07587795,0.08865860699999999,0.038802533,0.14611399,0.10420264800000001,0.025906736,0.11295336800000001,0.064939551,0.137017847,0.043638457,0.06609096099999999
Dillon Francis - EDM O'CLOCK.mp3,123.046875,0.071729958,0.033599000000000004,0.024691357999999997,0.060947022999999996,0.055946242,0.303016096,0.126738553,0.115174246,0.049851539,0.067979372,0.039068604,0.05125800900000001
