track_x,track_y,dist,bpm_inc
Kid Cudi - Pursuit of Happiness.mp3,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,0.015167372479944131,0.12077186949695091
Caribou - Can't Do Without You (Tale Of Us Remix).mp3,Kid Cudi - Pursuit of Happiness.mp3,0.015167372479944131,0.12077186949695091
Tale of Us - Cafe del Mar.mp3,Mathame - Magia.wav,0.015175267672934322,0.015840507936507896
Mathame - Magia.wav,Tale of Us - Cafe del Mar.mp3,0.015175267672934322,0.015840507936507896
Disclosure - Holding On.mp3,Hannah Wants  - Rhymes.mp3,0.01528322447428107,0.016007548143608264
Hannah Wants  - Rhymes.mp3,Disclosure - Holding On.mp3,0.01528322447428107,0.016007548143608264
Tchami - Missing You.mp3,What So Not - Goh (AC Slater Remix).mp3,0.015496886580792488,0.01734872594412435
What So Not - Goh (AC Slater Remix).mp3,Tchami - Missing You.mp3,0.015496886580792488,0.01734872594412435
Backstreet Boys - I Want It That Way.mp3,Kanye West - Flashing Lights.mp3,0.016009059258084563,0.09448288057293171
Kanye West - Flashing Lights.mp3,Backstreet Boys - I Want It That Way.mp3,0.016009059258084563,0.09448288057293171
Disclosure - When A Fire Starts To Burn.mp3,Tchami - Missing You.mp3,0.016172279107878548,0.024590957498305758
Tchami - Missing You.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.016172279107878548,0.024590957498305758
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Justice - D.A.N.C.E.mp3,0.01659887051209651,0.08876587178693093
Justice - D.A.N.C.E.mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.01659887051209651,0.08876587178693093
Jamie xx - SeeSaw (Club Version).mp3,Diplo - Love To The World.mp3,0.016685264427926817,0.016233792626915416
Diplo - Love To The World.mp3,Jamie xx - SeeSaw (Club Version).mp3,0.016685264427926817,0.016233792626915416
Travis Scott - goosebumps.m4a,Dog Blood - TURN OFF THE LIGHTS.mp3,0.016738570780808402,0.015793543549407478
Dog Blood - TURN OFF THE LIGHTS.mp3,Travis Scott - goosebumps.m4a,0.016738570780808402,0.015793543549407478
Dog Blood - TURN OFF THE LIGHTS.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.016872966566107424,0.03290896182270002
Disclosure - When A Fire Starts To Burn.mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.016872966566107424,0.03290896182270002
Beyoncé - Drunk in Love.mp3,Cardi B - I Like It (Dillon Francis Remix).mp3,0.016949845319622715,0.07236306505748734
Cardi B - I Like It (Dillon Francis Remix).mp3,Beyoncé - Drunk in Love.mp3,0.016949845319622715,0.07236306505748734
Coeus - Rebirth.wav,Malaa - Notorious.mp3,0.01719308604509998,0.00015342035959289106
Malaa - Notorious.mp3,Coeus - Rebirth.wav,0.01719308604509998,0.00015342035959289106
What So Not - Goh (AC Slater Remix).mp3,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,0.017426708962211657,0.0500000004063493
Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,What So Not - Goh (AC Slater Remix).mp3,0.017426708962211657,0.0500000004063493
Meek Mill - Going Bad.mp3,Drake - 0 To 100.mp3,0.017463689336156062,0.026813018150529774
Drake - 0 To 100.mp3,Meek Mill - Going Bad.mp3,0.017463689336156062,0.026813018150529774
Zhu - My Life (Kyle Watson Remix).mp3,Drake - Get It Together.mp3,0.01750539098546285,5.690547999776445e-05
Drake - Get It Together.mp3,Zhu - My Life (Kyle Watson Remix).mp3,0.01750539098546285,5.690547999776445e-05
Bicep - Just.mp3,ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,0.017526458444182644,5.000166672222597e-05
ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,Bicep - Just.mp3,0.017526458444182644,5.000166672222597e-05
Beyoncé - Crazy In Love.mp3,Kanye West - Fade.mp3,0.017618641484866495,0.06890535975394542
Kanye West - Fade.mp3,Beyoncé - Crazy In Love.mp3,0.017618641484866495,0.06890535975394542
Beyoncé - Single Ladies (Put a Ring on It).mp3,J Balvin - Mi Gente.mp3,0.01763269412191916,0.0852008664319649
J Balvin - Mi Gente.mp3,Beyoncé - Single Ladies (Put a Ring on It).mp3,0.01763269412191916,0.0852008664319649
Disclosure - Latch.mp3,James Blake  - Limit To Your Love (Club remix).mp3,0.018012394069129613,0.008696694702670763
James Blake  - Limit To Your Love (Club remix).mp3,Disclosure - Latch.mp3,0.018012394069129613,0.008696694702670763
Rufus Du Sol - Underwater (Adam Port Remix).mp3,Justin Martin - Don't Go (Dusky Remix).mp3,0.01817669322616952,0.042841648590021666
Justin Martin - Don't Go (Dusky Remix).mp3,Rufus Du Sol - Underwater (Adam Port Remix).mp3,0.01817669322616952,0.042841648590021666
Four Tet - Planet.mp3,ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,0.018180645622272056,0.05822694089803001
ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,Four Tet - Planet.mp3,0.018180645622272056,0.05822694089803001
M83 - Midnight City (Eric Prydz Remix).mp3,Porter Robinson - Easy.m4a,0.01866533199202442,0.0077319181770939905
Porter Robinson - Easy.m4a,M83 - Midnight City (Eric Prydz Remix).mp3,0.01866533199202442,0.0077319181770939905
Backstreet Boys - Everybody (Backstreet's Back).mp3,Kanye West - On Sight.mp3,0.018850680641145437,0.053575608614232155
Kanye West - On Sight.mp3,Backstreet Boys - Everybody (Backstreet's Back).mp3,0.018850680641145437,0.053575608614232155
Justice - D.A.N.C.E.mp3,Chris Lake - I Want You.mp3,0.01888594429415532,0.10611865681546692
Chris Lake - I Want You.mp3,Justice - D.A.N.C.E.mp3,0.01888594429415532,0.10611865681546692
Dr Dre - The Next Episode.mp3,Linkin Park - In The End.mp3,0.019339793032530743,0.1033422530038302
Linkin Park - In The End.mp3,Dr Dre - The Next Episode.mp3,0.019339793032530743,0.1033422530038302
ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,Four Tet - Baby.mp3,0.01935323943098304,0.05891863062102076
Four Tet - Baby.mp3,ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,0.01935323943098304,0.05891863062102076
Justice - D.A.N.C.E.mp3,Tchami - Prophecy.mp3,0.019355986700489526,0.10611865681546692
Tchami - Prophecy.mp3,Justice - D.A.N.C.E.mp3,0.019355986700489526,0.10611865681546692
Childish Gambino - This Is America (remix).mp3,Dillon Francis - EDM O'CLOCK.mp3,0.019438069276625412,0.007835428571428537
Dillon Francis - EDM O'CLOCK.mp3,Childish Gambino - This Is America (remix).mp3,0.019438069276625412,0.007835428571428537
Flume - Insane (Bishu Remix).mp3,Four Tet - Baby.mp3,0.019452495673167473,0.12976474824107154
Four Tet - Baby.mp3,Flume - Insane (Bishu Remix).mp3,0.019452495673167473,0.12976474824107154
Justice - Genesis.mp3,ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,0.019771215295151214,0.0251249412669257
